slice,ticker,date,time,model,status,status_detail,grid_k_lo,grid_k_hi,grid_k_points,grid_t_lo,grid_t_hi,grid_t_points,n_grid_points,butterfly_violations,butterfly_violation_rate,min_g,calendar_pairs,calendar_crossings,calendar_crossing_rate,max_calendar_crossing,fit_max_calendar_crossing,self_validates,grid_inside_quoted_fraction,butterfly_violations_inside,min_g_inside,calendar_crossings_inside,max_calendar_crossing_inside
daily,GOOGL,2026-08-18,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4273972603,41,3321,0,0.0000000000,0.2794206381,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9388738332,0,0.4854206041,0,0.0000000000
daily,GOOGL,2026-08-19,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4246575342,41,3321,0,0.0000000000,0.1214553745,3240,0,0.0000000000,0.0000000000,0.0000132231,true,0.9403794038,0,0.2833164956,0,0.0000000000
daily,GOOGL,2026-08-19,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4246575342,41,3321,0,0.0000000000,0.2848169523,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9403794038,0,0.4769872046,0,0.0000000000
daily,GOOGL,2026-08-19,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4246575342,41,3321,0,0.0000000000,0.2846836779,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9403794038,0,0.4525983502,0,0.0000000000
daily,GOOGL,2026-08-19,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4246575342,41,3321,0,0.0000000000,0.2887802279,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9403794038,0,0.4788797912,0,0.0000000000
daily,GOOGL,2026-08-19,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4246575342,41,3321,0,0.0000000000,0.2783485369,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9403794038,0,0.4398741190,0,0.0000000000
daily,GOOGL,2026-08-19,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4246575342,41,3321,0,0.0000000000,0.2955733393,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9403794038,0,0.5119695276,0,0.0000000000
daily,GOOGL,2026-08-20,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4219178082,41,3321,0,0.0000000000,0.2207238348,3240,0,0.0000000000,0.0000000000,0.0001260378,true,0.9385727191,0,0.3467149882,0,0.0000000000
daily,GOOGL,2026-08-20,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4219178082,41,3321,0,0.0000000000,0.2764387355,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9385727191,0,0.4848819603,0,0.0000000000
daily,GOOGL,2026-08-20,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4219178082,41,3321,0,0.0000000000,0.2666595442,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9385727191,0,0.4540886189,0,0.0000000000
daily,GOOGL,2026-08-20,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4219178082,41,3321,0,0.0000000000,0.2772058822,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9385727191,0,0.4625871807,0,0.0000000000
daily,GOOGL,2026-08-20,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4219178082,41,3321,0,0.0000000000,0.2659883807,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9385727191,0,0.4483221456,0,0.0000000000
daily,GOOGL,2026-08-20,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4219178082,41,3321,0,0.0000000000,0.2797533253,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9385727191,0,0.4903704124,0,0.0000000000
daily,GOOGL,2026-08-21,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4191780822,41,3321,0,0.0000000000,0.1862362873,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9464016862,0,0.2051924349,0,0.0000000000
daily,GOOGL,2026-08-21,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4191780822,41,3321,0,0.0000000000,0.2681252791,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9464016862,0,0.3918608962,0,0.0000000000
daily,GOOGL,2026-08-21,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4191780822,41,3321,0,0.0000000000,0.2666794678,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9464016862,0,0.3815378974,0,0.0000000000
daily,GOOGL,2026-08-21,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4191780822,41,3321,0,0.0000000000,0.2772847951,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9464016862,0,0.4531762197,0,0.0000000000
daily,GOOGL,2026-08-21,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4191780822,41,3321,0,0.0000000000,0.2660496233,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9464016862,0,0.3766293635,0,0.0000000000
daily,GOOGL,2026-08-21,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0082191781,1.4191780822,41,3321,0,0.0000000000,0.2819005920,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9464016862,0,0.4774900270,0,0.0000000000
daily,GOOGL,2026-08-24,1538,svi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4109589041,41,3321,0,0.0000000000,0.1938063607,3240,5,0.0015432099,0.0005958395,0.0000000000,true,0.9400782897,0,0.2294349587,0,0.0000000000
daily,GOOGL,2026-08-24,1538,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4109589041,41,3321,0,0.0000000000,0.2800093780,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9400782897,0,0.4714793394,0,0.0000000000
daily,GOOGL,2026-08-24,1538,essvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4109589041,41,3321,0,0.0000000000,0.2944092627,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9400782897,0,0.4450756979,0,0.0000000000
daily,GOOGL,2026-08-24,1538,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4109589041,41,3321,0,0.0000000000,0.2863311906,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9400782897,0,0.4591763670,0,0.0000000000
daily,GOOGL,2026-08-24,1538,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4109589041,41,3321,0,0.0000000000,0.2766984221,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9400782897,0,0.4577657948,0,0.0000000000
daily,GOOGL,2026-08-24,1538,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4109589041,41,3321,0,0.0000000000,0.2937690154,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9400782897,0,0.4875805723,0,0.0000000000
daily,GOOGL,2026-08-25,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4082191781,41,3321,0,0.0000000000,0.1214527624,3240,8,0.0024691358,0.0012922030,0.0001942282,true,0.9295392954,0,0.1230722917,0,0.0000000000
daily,GOOGL,2026-08-25,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4082191781,41,3321,0,0.0000000000,0.2673238227,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9295392954,0,0.4371384677,0,0.0000000000
daily,GOOGL,2026-08-25,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4082191781,41,3321,0,0.0000000000,0.2730501290,3240,0,0.0000000000,0.0000000000,0.0000065429,false,0.9295392954,0,0.3905884241,0,0.0000000000
daily,GOOGL,2026-08-25,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4082191781,41,3321,0,0.0000000000,0.2743247667,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9295392954,0,0.4333499023,0,0.0000000000
daily,GOOGL,2026-08-25,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4082191781,41,3321,0,0.0000000000,0.2655141926,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9295392954,0,0.4134672180,0,0.0000000000
daily,GOOGL,2026-08-25,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0027397260,1.4082191781,41,3321,0,0.0000000000,0.2796937099,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9295392954,0,0.4794814989,0,0.0000000000
daily,GOOGL,2026-08-26,1530,svi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4054794521,41,3321,16,0.0048178260,-0.5341801430,3240,21,0.0064814815,0.0592549897,0.0037308376,true,0.9259259259,0,0.2732071115,0,0.0000000000
daily,GOOGL,2026-08-26,1530,ssvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4054794521,41,3321,0,0.0000000000,0.2734882678,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9259259259,0,0.3886361623,0,0.0000000000
daily,GOOGL,2026-08-26,1530,essvi,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4054794521,41,3321,0,0.0000000000,0.2775632302,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9259259259,0,0.4099093947,0,0.0000000000
daily,GOOGL,2026-08-26,1530,essvi_g05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4054794521,41,3321,0,0.0000000000,0.2883860601,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9259259259,0,0.4653807731,0,0.0000000000
daily,GOOGL,2026-08-26,1530,essvi_gfree,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4054794521,41,3321,0,0.0000000000,0.2749253353,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9259259259,0,0.3955211398,0,0.0000000000
daily,GOOGL,2026-08-26,1530,essvi_sg05,ok,,-0.4000000000,0.4000000000,81,0.0054794521,1.4054794521,41,3321,0,0.0000000000,0.2960545984,3240,0,0.0000000000,0.0000000000,0.0000000000,true,0.9259259259,0,0.5010209752,0,0.0000000000
