slice,ticker,date,time,model,status,status_detail,maturity,t,t_beyond_last_pillar,t_below_first_pillar,spot,strike,forward,discount_factor,barrier_type,barrier_dir,barrier_mult,barrier_level,right,pv,std_err,knock_prob,vanilla_pv,vanilla_std_err,ko_over_vanilla,paths,steps,seed
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,none,,,,P,57.4888770751,0.2370633104,,57.4888770751,0.2370633104,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.9500000000,482.4195000000,C,24.0933756223,0.4276423229,0.8837332539,63.0900562113,0.4971274320,0.3818886378,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.9500000000,482.4195000000,P,0.0141730412,0.0016465170,0.8837332539,57.4888770751,0.2370633104,0.0002465354,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.9000000000,457.0290000000,C,41.3038318238,0.4988649395,0.7556455124,63.0900562113,0.4971274320,0.6546805361,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.9000000000,457.0290000000,P,0.3047748293,0.0125257337,0.7556455124,57.4888770751,0.2370633104,0.0053014573,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.8500000000,431.6385000000,C,52.4006476349,0.5114712022,0.6207751771,63.0900562113,0.4971274320,0.8305690434,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,down,0.8500000000,431.6385000000,P,1.5332409800,0.0347968357,0.6207751771,57.4888770751,0.2370633104,0.0266702197,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.0500000000,533.2005000000,C,0.0142153260,0.0017314040,0.8568613793,63.0900562113,0.4971274320,0.0002253180,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.0500000000,533.2005000000,P,20.3834883912,0.2600883447,0.8568613793,57.4888770751,0.2370633104,0.3545640379,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1000000000,558.5910000000,C,0.2060070939,0.0100007714,0.7244781680,63.0900562113,0.4971274320,0.0032652863,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1000000000,558.5910000000,P,34.3995581111,0.2927405843,0.7244781680,57.4888770751,0.2370633104,0.5983689343,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1500000000,583.9815000000,C,0.8908307175,0.0261190958,0.6057995248,63.0900562113,0.4971274320,0.0141199861,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,3M,0.2500000000,false,false,507.8100000000,507.8100000000,513.4326328251,0.9904202202,out,up,1.1500000000,583.9815000000,P,43.6453960874,0.2886505758,0.6057995248,57.4888770751,0.2370633104,0.7591972275,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,none,,,,C,90.7366629486,0.7805471987,,90.7366629486,0.7805471987,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,none,,,,P,79.2620004347,0.2799203558,,79.2620004347,0.2799203558,1.0000000000,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9500000000,482.4195000000,C,25.4482865608,0.5828151695,0.9250525796,90.7366629486,0.7805471987,0.2804631087,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9500000000,482.4195000000,P,0.0058161183,0.0009844544,0.9250525796,79.2620004347,0.2799203558,0.0000733784,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9000000000,457.0290000000,C,45.8024640901,0.7155876970,0.8406074844,90.7366629486,0.7805471987,0.5047845336,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.9000000000,457.0290000000,P,0.0937938531,0.0066374278,0.8406074844,79.2620004347,0.2799203558,0.0011833395,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.8500000000,431.6385000000,C,62.5411917122,0.7799536619,0.7459394281,90.7366629486,0.7805471987,0.6892604343,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,down,0.8500000000,431.6385000000,P,0.6114494259,0.0221521097,0.7459394281,79.2620004347,0.2799203558,0.0077142820,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.0500000000,533.2005000000,C,0.0046404614,0.0008703303,0.8937412188,90.7366629486,0.7805471987,0.0000511421,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.0500000000,533.2005000000,P,20.4720630224,0.3043692542,0.8937412188,79.2620004347,0.2799203558,0.2582834512,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1000000000,558.5910000000,C,0.0657655273,0.0054698127,0.7954506688,90.7366629486,0.7805471987,0.0007247955,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1000000000,558.5910000000,P,36.1007873725,0.3635030631,0.7954506688,79.2620004347,0.2799203558,0.4554614718,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1500000000,583.9815000000,C,0.3201975280,0.0155356510,0.7050095663,90.7366629486,0.7805471987,0.0035288660,40000,192,20260824
daily,AMD,2026-08-14,1530,ssvi,ok,,6M,0.5000000000,false,false,507.8100000000,507.8100000000,519.8031798101,0.9806827969,out,up,1.1500000000,583.9815000000,P,48.1697429708,0.3771306228,0.7050095663,79.2620004347,0.2799203558,0.6077280753,40000,192,20260824
daily,AMD,2026-08-14,1530,essvi,ok,,1M,0.0833333333,false,false,507.8100000000,507.8100000000,509.7457823053,0.9968517053,none,,,,C,32.5760140328,0.2199619135,,32.5760140328,0.2199619135,1.0000000000,40000,192,20260824
