slice,ticker,date,time,model,status,status_detail,grid_levels,grid_times,lv_min,lv_max,lv_mean,clamped_fraction,guard_fraction,roughness_dk,roughness_mean_abs_d2,roughness_max_abs_d2,roughness_mean_abs_d2_per_dk2,lv_analytic_minus_numeric_mean_abs,lv_analytic_minus_numeric_max_abs,rt_points,rt_failures,rt_panics,rt_vs_fit_mean_vol_bp,rt_vs_fit_max_vol_bp,rt_vs_fit_mean_abs_price,rt_vs_fit_max_abs_price,rt_vs_fit_mean_rel_price,rt_vs_mkt_mean_vol_bp,rt_vs_mkt_max_vol_bp,ur_roundtrip_points,ur_roundtrip_failures,ur_roundtrip_mean_vol_bp,ur_roundtrip_max_vol_bp,ur_clamped_fraction,ur_fallback_fraction,ur_within_desk_tolerance,trusted_strike_lo,trusted_strike_hi,trusted_t_lo,trusted_t_hi
daily,AMD,2026-08-21,1530,svi,ok,,81,41,0.2994543831,1.7558392410,0.6030788035,0.0000000000,0.0000000000,0.0100000000,0.0001242554,0.0131770896,1.2425541737,0.0232077848,1.1988721806,15,0,0,24.0261440907,43.9453645070,0.2447989782,0.5850029211,0.0056595053,25.6416191524,63.5379978660,7,0,901.6745089968,2136.3328365599,0.0000000000,0.0000000000,false,430.0000000000,520.0000000000,0.0082191781,1.4191780822
daily,AMD,2026-08-21,1530,ssvi,ok,,81,41,0.3003119058,1.0117715838,0.5940139234,0.0000000000,0.0000000000,0.0100000000,0.0000661536,0.0124796577,0.6615364310,0.0162016389,2.4273029303,15,0,0,23.9223646300,54.0385770329,0.2703549282,0.7069026509,0.0052226539,25.2650930787,67.0643036059,7,0,920.1839515456,2199.0926309590,0.0000000000,0.0000000000,false,430.0000000000,520.0000000000,0.0082191781,1.4191780822
daily,AMD,2026-08-21,1530,essvi,ok,,81,41,0.3059481509,1.3398284021,0.5989701858,0.0000000000,0.0000000000,0.0100000000,0.0000719139,0.0128927781,0.7191391359,0.0174730304,0.7079014273,15,0,0,27.3679407568,57.4523781485,0.3022110626,0.7515507874,0.0060952502,44.1420077400,195.0526188410,7,0,936.7021821999,2231.4538210214,0.0000000000,0.0000000000,false,430.0000000000,520.0000000000,0.0082191781,1.4191780822
daily,AMD,2026-08-21,1530,essvi_g05,ok,,81,41,0.3022470681,1.3448780555,0.5954241670,0.0000000000,0.0000000000,0.0100000000,0.0000939073,0.0135071331,0.9390727171,0.0238627183,1.9071759402,15,0,0,25.3440128264,53.7828978365,0.2719050801,0.6637848544,0.0056889830,55.7522448201,151.9342253928,7,0,908.3805901454,2120.2226781082,0.0000000000,0.0000000000,false,430.0000000000,520.0000000000,0.0082191781,1.4191780822
daily,AMD,2026-08-21,1530,essvi_gfree,ok,,81,41,0.2945418150,1.4039976968,0.5974584362,0.0000000000,0.0000000000,0.0100000000,0.0000911772,0.0166384212,0.9117717057,0.0226000827,1.9583400090,15,0,0,23.4187193162,44.3538625059,0.2479376733,0.5802586161,0.0052979492,49.3501241547,165.0315879295,7,0,898.1419266971,2108.9077528594,0.0000000000,0.0000000000,false,430.0000000000,520.0000000000,0.0082191781,1.4191780822
daily,AMD,2026-08-21,1530,essvi_sg05,ok,,81,41,0.3123183055,1.1403959972,0.5940594695,0.0000000000,0.0000000000,0.0100000000,0.0000592517,0.0071692397,0.5925174083,0.0161448359,1.4723424677,15,0,0,29.5402757755,58.6600929329,0.3178578404,0.7673458806,0.0067201643,41.4115011262,135.1311070449,7,0,967.3022186225,2305.5003661611,0.0000000000,0.0000000000,false,430.0000000000,520.0000000000,0.0082191781,1.4191780822
daily,AMD,2026-08-24,1538,svi,ok,,81,41,0.0100000000,3.0000000000,0.6043533586,0.0063233966,0.0000000000,0.0100000000,0.0002583418,0.1006073640,2.5834176075,0.0276048159,2.0434585869,15,0,0,61.7210704105,115.3739160681,0.4770564387,0.5951066161,0.0157972019,71.9879460408,125.0888621636,9,0,91.4997338511,322.6251275419,0.0063233966,0.0000000000,false,395.0000000000,510.0000000000,0.0054794521,1.4109589041
daily,AMD,2026-08-24,1538,ssvi,ok,,81,41,0.4448520362,1.2804531941,0.5907489058,0.0000000000,0.0000000000,0.0100000000,0.0000618929,0.0051081248,0.6189289283,0.0147806884,0.5537507857,15,0,0,71.0995424403,116.8203887817,0.5367003019,0.6278027242,0.0182855001,71.7182795061,158.3882675020,9,0,81.2447329204,147.5689815593,0.0000000000,0.0000000000,false,395.0000000000,510.0000000000,0.0054794521,1.4109589041
daily,AMD,2026-08-24,1538,essvi,ok,,81,41,0.4370075612,2.0318943728,0.5976595736,0.0000000000,0.0000000000,0.0100000000,0.0000821242,0.0123118162,0.8212424030,0.0207575320,1.1572650532,15,0,0,71.5395417364,136.6373213094,0.5490824630,0.6319043619,0.0181434823,70.0517999318,148.7798284844,9,0,107.2117332323,355.6859035609,0.0000000000,0.0000000000,false,395.0000000000,510.0000000000,0.0054794521,1.4109589041
daily,AMD,2026-08-24,1538,essvi_g05,ok,,81,41,0.4385110638,2.0241377724,0.5969246372,0.0000000000,0.0000000000,0.0100000000,0.0000983673,0.0123946696,0.9836734963,0.0237972325,1.1475593130,15,0,0,53.9254894708,95.0229361171,0.4386082212,0.6348326850,0.0135773875,119.4654856276,184.4423339379,9,0,107.3865848707,375.3592736268,0.0000000000,0.0000000000,false,395.0000000000,510.0000000000,0.0054794521,1.4109589041
