slice,ticker,date,time,status,status_detail,file,as_of,quote_timestamp,spot,curve_date,n_quotes_raw,n_expiries_raw,n_quotes_used,n_quotes_dropped,drop_unquoted_or_crossed,drop_wide_spread,drop_expiry_window,drop_moneyness_window,drop_in_the_money,drop_vol_out_of_bounds,drop_solver_failed,drop_sparse_expiry,drop_no_forward,n_expiries_used,t_first,t_last,fwd_1M,fwd_3M,fwd_6M,rate_1M,rate_3M,rate_6M,rate_1Y,raw_butterfly_violations,raw_calendar_violations,repair_butterfly_adjustments,repair_calendar_adjustments,repair_dropped_points,repair_max_vol_change,repair_iterations,repair_clean,elapsed_ms
daily,GOOGL,2026-08-14,1530,ok,,GOOGL/2026-08-14/1530.json.gz,2026-08-14,2026-08-14 19:29:28,345.7500000000,2026-08-13,5050,24,886,4164,581,650,554,995,1384,0,0,0,0,21,0.0082191781,1.4383561644,346.4903942253,349.1775687990,353.0852540848,0.0378391324,0.0385038441,0.0390124368,0.0390923758,194,12,258,28,0,0.1763825204,2,true,23941.9596000000
daily,GOOGL,2026-08-17,1530,ok,,GOOGL/2026-08-17/1530.json.gz,2026-08-17,2026-08-17 19:29:30,343.9550000000,2026-08-14,4876,24,901,3975,519,629,475,977,1375,0,0,0,0,21,0.0054794521,1.4301369863,344.9695895894,347.6041890279,351.6370683292,0.0378391323,0.0384064106,0.0391089318,0.0394088634,187,20,237,24,0,0.0754283822,1,true,26112.8956000000
daily,GOOGL,2026-08-18,1530,ok,,GOOGL/2026-08-18/1530.json.gz,2026-08-18,2026-08-18 19:29:28,343.4500000000,2026-08-17,4876,24,900,3976,466,675,428,984,1423,0,0,0,0,22,0.0027397260,1.4273972603,344.3493911708,347.0941342362,351.1193280677,0.0378391324,0.0385054512,0.0391105284,0.0396069109,211,20,303,36,0,0.1131758677,2,true,25003.0501000000
daily,GOOGL,2026-08-19,1530,ok,,GOOGL/2026-08-19/1530.json.gz,2026-08-19,2026-08-19 19:29:27,344.7101000000,2026-08-18,4942,24,904,4038,497,673,484,985,1399,0,0,0,0,21,0.0054794521,1.4246575342,345.7485872098,348.4996336666,352.2711133386,0.0377394528,0.0384080177,0.0390124368,0.0395088736,179,9,239,12,0,0.0572136218,1,true,24787.9865000000
daily,GOOGL,2026-08-20,1530,ok,,GOOGL/2026-08-20/1530.json.gz,2026-08-20,2026-08-20 19:29:28,340.5550000000,2026-08-19,4826,23,896,3930,471,633,428,1008,1390,0,0,0,0,21,0.0027397260,1.4219178082,341.5583685051,344.0567059214,348.0584049359,0.0376397724,0.0384064106,0.0390124368,0.0396034947,148,3,215,7,0,0.0561276041,2,true,25610.7323000000
daily,GOOGL,2026-08-21,1530,ok,,GOOGL/2026-08-21/1530.json.gz,2026-08-21,2026-08-21 19:29:25,345.2700000000,2026-08-20,4826,23,874,3952,513,624,563,939,1313,0,0,0,0,20,0.0082191781,1.4191780822,346.3618414713,348.8934538114,352.7957275754,0.0379388111,0.0385006299,0.0390124368,0.0392914356,216,7,297,14,0,0.0570137190,2,true,25265.4476000000
daily,GOOGL,2026-08-24,1538,ok,,GOOGL/2026-08-24/1538.json.gz,2026-08-24,2026-08-24 19:39:27,348.8900000000,2026-08-21,4604,22,891,3713,475,533,483,938,1284,0,0,0,0,19,0.0054794521,1.4109589041,349.6956657164,352.3812829582,356.1415796779,0.0379388111,0.0385996681,0.0391121249,0.0399039828,208,8,293,13,0,0.0428960913,2,true,25341.8045000000
daily,GOOGL,2026-08-25,1530,ok,,GOOGL/2026-08-25/1530.json.gz,2026-08-25,2026-08-25 19:29:18,346.1600000000,2026-08-24,4552,22,869,3683,472,540,427,934,1310,0,0,0,0,20,0.0027397260,1.4082191781,347.2340276407,349.7474632118,353.8039907231,0.0378391324,0.0385022370,0.0392086152,0.0400020080,180,14,239,22,0,0.1347178786,2,true,25344.0593000000
daily,GOOGL,2026-08-26,1530,ok,,GOOGL/2026-08-26/1530.json.gz,2026-08-26,2026-08-26 19:29:22,341.6601000000,2026-08-25,4590,22,841,3749,501,567,483,938,1260,0,0,0,0,19,0.0054794521,1.4054794521,342.8926804487,345.4730941426,349.5256097094,0.0378391324,0.0384048035,0.0391105284,0.0397059348,155,7,201,7,0,0.0419776377,1,true,25252.8117000000
daily,GOOGL,2026-08-27,1530,ok,,GOOGL/2026-08-27/1530.json.gz,2026-08-27,2026-08-27 19:29:27,340.8100000000,2026-08-26,4526,22,842,3684,485,553,427,930,1289,0,0,0,0,20,0.0027397260,1.4027397260,341.7823653055,344.2813044536,348.6887905675,0.0379388111,0.0383073676,0.0390124368,0.0398014811,175,10,237,13,0,0.0431741897,2,true,21995.1807000000
