slice,ticker,date,time,model,status,status_detail,holdout_index,n_pillars,expiry_date,tenor_years,forward,n_eval_quotes,gap_lo_years,gap_hi_years,insample_rmse_bp,insample_max_bp,loo_rmse_bp,loo_max_bp,loo_mean_signed_bp,loo_atm_signed_bp,fit_ms
loo,DIA,2026-08-21,1530,ssvi,ok,,4,18,2026-09-25,0.0958904110,533.6004638318,78,0.0191780822,0.0136986301,241.1761914459,481.5968383660,252.4637215301,506.8046504348,176.2620781376,-4.7716153279,4.7567000000
loo,DIA,2026-08-21,1530,essvi,ok,,4,18,2026-09-25,0.0958904110,533.6004638318,78,0.0191780822,0.0136986301,26.1714607372,154.6720590659,32.1101365228,105.5673275268,14.6892450412,-1.1626498879,10.5866000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,4,18,2026-09-25,0.0958904110,533.6004638318,78,0.0191780822,0.0136986301,30.1483950523,105.9614758399,33.8642743378,77.4861155060,6.9344113017,-30.8718549520,65.8931000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,4,18,2026-09-25,0.0958904110,533.6004638318,78,0.0191780822,0.0136986301,27.2658369509,120.9896592755,31.2717157401,91.1362388055,7.4008252902,-22.0346945210,65.1393000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,4,18,2026-09-25,0.0958904110,533.6004638318,78,0.0191780822,0.0136986301,55.9420222726,273.3040332958,61.6991685828,199.0209859641,-27.4238097131,-1.4841777207,1.6272000000
loo,DIA,2026-08-21,1530,svi,ok,,5,18,2026-09-30,0.1095890411,533.7196881571,101,0.0136986301,0.0054794521,7.7022352686,18.1927451698,17.4698284195,28.3375699859,10.4817601846,18.5448021167,616.0617000000
loo,DIA,2026-08-21,1530,ssvi,ok,,5,18,2026-09-30,0.1095890411,533.7196881571,101,0.0136986301,0.0054794521,270.5236681690,439.1903475784,325.4652732882,536.9324446005,259.4506067468,17.1147334749,8.1159000000
loo,DIA,2026-08-21,1530,essvi,ok,,5,18,2026-09-30,0.1095890411,533.7196881571,101,0.0136986301,0.0054794521,36.0150041309,87.0916792185,43.4962133573,118.8746377002,8.4611974724,18.8369709092,11.6031000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,5,18,2026-09-30,0.1095890411,533.7196881571,101,0.0136986301,0.0054794521,33.6256888715,77.4509107553,36.9385857817,88.7948953472,10.7211473518,-12.9316724768,65.7950000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,5,18,2026-09-30,0.1095890411,533.7196881571,101,0.0136986301,0.0054794521,34.1042886118,86.1003531960,37.6235623863,96.0033482883,7.9876311338,-2.4876146616,53.7628000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,5,18,2026-09-30,0.1095890411,533.7196881571,101,0.0136986301,0.0054794521,84.9081677963,203.4282196473,95.1366729269,265.2401657796,-54.5864132957,18.8630343016,1.8354000000
loo,DIA,2026-08-21,1530,svi,ok,,6,18,2026-10-02,0.1150684932,533.9427615368,89,0.0054794521,0.0383561644,4.2826644136,17.1487020731,18.3113376189,54.2817818791,-9.6206200576,-13.0963791081,676.2457000000
loo,DIA,2026-08-21,1530,ssvi,ok,,6,18,2026-10-02,0.1150684932,533.9427615368,89,0.0054794521,0.0383561644,219.9474445789,466.9364786618,229.3761013340,496.8463038507,150.4426405153,-16.3102144919,9.5946000000
loo,DIA,2026-08-21,1530,essvi,ok,,6,18,2026-10-02,0.1150684932,533.9427615368,89,0.0054794521,0.0383561644,25.7286941436,66.8018398791,27.7037495196,47.8790967234,3.5721919648,-14.9195830944,11.3730000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,6,18,2026-10-02,0.1150684932,533.9427615368,89,0.0054794521,0.0383561644,27.3890691320,73.4504277678,32.3918696013,57.6816989990,-6.1104951077,-42.2536066707,84.2320000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,6,18,2026-10-02,0.1150684932,533.9427615368,89,0.0054794521,0.0383561644,25.6574180589,63.7325060151,28.9826345330,44.5334465317,-4.2711563608,-28.2643552555,34.8914000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,6,18,2026-10-02,0.1150684932,533.9427615368,89,0.0054794521,0.0383561644,57.1727232899,192.3325669711,80.2685379248,168.1671312421,-54.2753019293,-14.9974624432,2.5712000000
loo,DIA,2026-08-21,1530,svi,ok,,7,18,2026-10-16,0.1534246575,534.7177180908,73,0.0383561644,0.0958904110,6.2100782257,16.9761057907,28.6854951809,115.6939080446,6.5149789546,15.8778646350,587.7268000000
loo,DIA,2026-08-21,1530,ssvi,ok,,7,18,2026-10-16,0.1534246575,534.7177180908,73,0.0383561644,0.0958904110,122.2411326843,267.6859604159,136.1034604725,292.3488359393,85.1285383443,13.5246244102,6.3959000000
loo,DIA,2026-08-21,1530,essvi,ok,,7,18,2026-10-16,0.1534246575,534.7177180908,73,0.0383561644,0.0958904110,38.6343901274,126.9640580760,56.0959263412,239.8225480183,-1.5587839061,15.1898899169,8.7085000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,7,18,2026-10-16,0.1534246575,534.7177180908,73,0.0383561644,0.0958904110,38.8880235523,139.4059905562,50.4665122136,205.4687057540,1.0393233163,-2.7999727642,108.1297000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,7,18,2026-10-16,0.1534246575,534.7177180908,73,0.0383561644,0.0958904110,39.1676433962,141.9690107652,50.5758459959,210.2589610991,0.0779755221,-0.1780305956,237.9851000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,7,18,2026-10-16,0.1534246575,534.7177180908,73,0.0383561644,0.0958904110,94.1122553170,258.6087886973,108.9592361161,424.1963925708,-47.6642225636,15.4569301206,2.2591000000
loo,DIA,2026-08-21,1530,svi,ok,,8,18,2026-11-20,0.2493150685,536.6746588179,51,0.0958904110,0.0767123288,2.2460560578,6.8675243678,8.0841617494,15.8435235695,2.7525467823,10.1390501667,608.8318000000
loo,DIA,2026-08-21,1530,ssvi,ok,,8,18,2026-11-20,0.2493150685,536.6746588179,51,0.0958904110,0.0767123288,52.1279736117,106.8224995530,54.2181596385,111.5165437579,27.9421858725,4.4394442916,7.0089000000
loo,DIA,2026-08-21,1530,essvi,ok,,8,18,2026-11-20,0.2493150685,536.6746588179,51,0.0958904110,0.0767123288,17.6700141132,52.4975160980,38.4473882928,74.8887332531,22.7953064379,4.9999607109,11.1626000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,8,18,2026-11-20,0.2493150685,536.6746588179,51,0.0958904110,0.0767123288,19.6333081264,60.4774125881,36.6137430061,71.0410623894,26.5817825861,17.9959088452,130.8474000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,8,18,2026-11-20,0.2493150685,536.6746588179,51,0.0958904110,0.0767123288,21.8154119807,72.3699116956,37.7947180800,74.0448310860,26.0468534807,18.5683421221,458.9096000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,8,18,2026-11-20,0.2493150685,536.6746588179,51,0.0958904110,0.0767123288,64.7758144902,204.7199418763,85.4478020508,248.1755866302,-26.8909898781,4.3027001012,2.4579000000
loo,DIA,2026-08-21,1530,svi,ok,,9,18,2026-12-18,0.3260273973,537.8231088886,88,0.0767123288,0.0356164384,8.5195915213,24.9397787787,17.9281288663,58.5343259867,-14.0606166254,-4.6660601752,532.3666000000
loo,DIA,2026-08-21,1530,ssvi,ok,,9,18,2026-12-18,0.3260273973,537.8231088886,88,0.0767123288,0.0356164384,60.6686801295,250.4543733708,72.6109079726,279.9672129816,-42.3857546976,-13.6527322521,5.0187000000
loo,DIA,2026-08-21,1530,essvi,ok,,9,18,2026-12-18,0.3260273973,537.8231088886,88,0.0767123288,0.0356164384,41.8831534588,138.6228199299,57.8371529760,239.0817478449,-23.7891822357,-13.5213688097,7.4362000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,9,18,2026-12-18,0.3260273973,537.8231088886,88,0.0767123288,0.0356164384,52.7991588558,194.4556142790,68.1666708034,274.7709970881,-32.5295019233,-3.4573166063,47.1247000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,9,18,2026-12-18,0.3260273973,537.8231088886,88,0.0767123288,0.0356164384,47.6467527666,176.4403761998,65.8756023225,266.6337430176,-32.2843000401,-7.7312843037,59.9137000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,9,18,2026-12-18,0.3260273973,537.8231088886,88,0.0767123288,0.0356164384,122.4437372641,352.1558995198,138.5159165933,416.1327953640,-95.8580630712,-13.8699303505,1.5683000000
loo,DIA,2026-08-21,1530,svi,ok,,10,18,2026-12-31,0.3616438356,538.1493443886,160,0.0356164384,0.0410958904,9.9425326610,46.0373263212,14.6051702189,27.3782736945,10.2079296493,21.6886122074,540.0444000000
loo,DIA,2026-08-21,1530,ssvi,ok,,10,18,2026-12-31,0.3616438356,538.1493443886,160,0.0356164384,0.0410958904,68.8062278164,320.7186650497,80.1870758842,360.2670595543,-28.0303367448,17.2858019575,4.0169000000
loo,DIA,2026-08-21,1530,essvi,ok,,10,18,2026-12-31,0.3616438356,538.1493443886,160,0.0356164384,0.0410958904,48.9425803482,208.4540001223,62.7845190171,152.7189595267,38.8063356999,17.7441759147,6.4978000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,10,18,2026-12-31,0.3616438356,538.1493443886,160,0.0356164384,0.0410958904,57.1674027335,254.7406987682,72.3293828343,217.1569405447,37.2487336147,53.5046195101,353.8817000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,10,18,2026-12-31,0.3616438356,538.1493443886,160,0.0356164384,0.0410958904,52.6167588433,241.1583965865,69.2960847445,199.4772016362,37.9891333506,44.8074615289,52.1804000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,10,18,2026-12-31,0.3616438356,538.1493443886,160,0.0356164384,0.0410958904,100.7781680527,312.4440835829,119.5953140159,464.6417032405,-63.8172206778,17.5227616627,2.0478000000
loo,DIA,2026-08-21,1530,svi,ok,,11,18,2027-01-15,0.4027397260,539.1725913182,51,0.0410958904,0.1726027397,12.8968775119,36.8523030066,43.0282683171,105.6427087045,-27.7255658430,11.2467109529,511.3403000000
loo,DIA,2026-08-21,1530,ssvi,ok,,11,18,2027-01-15,0.4027397260,539.1725913182,51,0.0410958904,0.1726027397,121.1937559708,346.4541330655,144.5465495612,395.6378440244,-89.9313601285,-10.3836182543,5.8245000000
loo,DIA,2026-08-21,1530,essvi,ok,,11,18,2027-01-15,0.4027397260,539.1725913182,51,0.0410958904,0.1726027397,59.9839273966,142.6041311399,86.5248600808,262.9522424789,-36.8633849695,-11.1500508568,5.9913000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,11,18,2027-01-15,0.4027397260,539.1725913182,51,0.0410958904,0.1726027397,69.1148158647,184.5588784400,100.3113987260,296.1420022994,-35.2420845921,10.0063891716,403.1763000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,11,18,2027-01-15,0.4027397260,539.1725913182,51,0.0410958904,0.1726027397,61.0885329790,155.1780135082,95.7050910444,275.8313848479,-21.6249649420,11.7881271682,299.7521000000
loo,DIA,2026-08-21,1530,essvi_sg05,ok,,11,18,2027-01-15,0.4027397260,539.1725913182,51,0.0410958904,0.1726027397,144.5867529393,393.4985036416,143.4816576075,372.2009745179,-99.6468649475,-11.5505567013,2.4146000000
loo,DIA,2026-08-21,1530,svi,ok,,12,18,2027-03-19,0.5753424658,541.7687019706,30,0.1726027397,0.0328767123,49.5532585636,109.2257329775,54.7523766325,145.9869514108,11.1541986077,4.2158889815,528.8977000000
loo,DIA,2026-08-21,1530,ssvi,ok,,12,18,2027-03-19,0.5753424658,541.7687019706,30,0.1726027397,0.0328767123,59.4441140608,100.6322541624,61.3400029745,105.2042951250,-31.3972426206,-1.3939413079,6.9211000000
loo,DIA,2026-08-21,1530,essvi,ok,,12,18,2027-03-19,0.5753424658,541.7687019706,30,0.1726027397,0.0328767123,52.5155444586,120.7711201185,59.0748913733,153.0937887166,11.4413235240,0.4735989027,5.4177000000
loo,DIA,2026-08-21,1530,essvi_g05,ok,,12,18,2027-03-19,0.5753424658,541.7687019706,30,0.1726027397,0.0328767123,60.0191787065,110.5494459108,64.4956581332,145.0108388001,22.0561779904,53.3197491196,375.2044000000
loo,DIA,2026-08-21,1530,essvi_gfree,ok,,12,18,2027-03-19,0.5753424658,541.7687019706,30,0.1726027397,0.0328767123,64.7999956404,131.8033114357,69.9552937049,152.9408926511,24.2936761485,47.7155029736,57.1041000000
