slice,ticker,date,time,model,status,status_detail,horizon,t,t_beyond_last_pillar,t_below_first_pillar,target_forward,simulated_mean,relative_error,standard_error,z_score,paths,seed,steps_per_year,z_threshold,within_threshold,max_abs_z_all_horizons,mc_mean_spot,mc_relative_error,mc_standard_error,mc_paths,mc_seed,mc_steps,carry_rate,zero_dividend_forward_error,drift_source
daily,AMD,2026-08-19,1530,essvi_g05,ok,,6M,0.5000000000,false,false,477.5955189232,477.2111766942,-0.0008047442,0.0011792657,-0.6824112748,32768,20260824,104,3.0000000000,true,1.0238691357,477.1612565516,-0.0009092681,0.0010646928,40000,20260824,192,0.0456408703,-0.0033087308,parity_forward
daily,AMD,2026-08-19,1530,essvi_gfree,ok,,1M,0.0833333333,false,false,468.4848518416,468.4468348168,-0.0000811489,0.0001561487,-0.5196898702,32768,20260824,104,3.0000000000,true,1.0568083141,468.5097689042,0.0000531865,0.0001195650,40000,20260824,192,0.0427202813,-0.0004149829,parity_forward
daily,AMD,2026-08-19,1530,essvi_gfree,ok,,3M,0.2500000000,false,false,472.0011142063,472.2845658705,0.0006005318,0.0005682504,1.0568083141,32768,20260824,104,3.0000000000,true,1.0568083141,471.9423807180,-0.0001244351,0.0005180665,40000,20260824,192,0.0441504072,-0.0014345674,parity_forward
daily,AMD,2026-08-19,1530,essvi_gfree,ok,,6M,0.5000000000,false,false,477.5955189232,477.2160887612,-0.0007944592,0.0011514579,-0.6899593891,32768,20260824,104,3.0000000000,true,1.0568083141,477.1719195657,-0.0008869416,0.0010384885,40000,20260824,192,0.0456408703,-0.0033087308,parity_forward
daily,AMD,2026-08-19,1530,essvi_sg05,ok,,1M,0.0833333333,false,false,468.4848518416,468.4640150039,-0.0000444771,0.0001410303,-0.3153726087,32768,20260824,104,3.0000000000,true,1.1557665042,468.5076950668,0.0000487598,0.0001108015,40000,20260824,192,0.0427202813,-0.0004149829,parity_forward
daily,AMD,2026-08-19,1530,essvi_sg05,ok,,3M,0.2500000000,false,false,472.0011142063,472.2994942605,0.0006321596,0.0005469614,1.1557665042,32768,20260824,104,3.0000000000,true,1.1557665042,471.9514603978,-0.0001051985,0.0004975777,40000,20260824,192,0.0441504072,-0.0014345674,parity_forward
daily,AMD,2026-08-19,1530,essvi_sg05,ok,,6M,0.5000000000,false,false,477.5955189232,477.2461854142,-0.0007314422,0.0011132990,-0.6570042693,32768,20260824,104,3.0000000000,true,1.1557665042,477.2089352355,-0.0008094374,0.0010022973,40000,20260824,192,0.0456408703,-0.0033087308,parity_forward
daily,AMD,2026-08-20,1530,svi,ok,,1M,0.0833333333,false,false,466.4030420131,466.4714788605,0.0001467333,0.0001441049,1.0182393926,32768,20260824,104,3.0000000000,true,1.6271686075,466.4130925506,0.0000215490,0.0001900402,40000,20260824,192,0.0428645750,-0.0004353054,parity_forward
daily,AMD,2026-08-20,1530,svi,ok,,3M,0.2500000000,false,false,469.5981486475,469.9906527244,0.0008358297,0.0005136712,1.6271686075,32768,20260824,104,3.0000000000,true,1.6271686075,469.6074879135,0.0000198878,0.0004952576,40000,20260824,192,0.0415968667,-0.0007972960,parity_forward
daily,AMD,2026-08-20,1530,svi,ok,,6M,0.5000000000,false,false,474.8603145237,474.6378692450,-0.0004684436,0.0010452470,-0.4481654440,32768,20260824,104,3.0000000000,true,1.6271686075,474.5498038218,-0.0006538990,0.0009521176,40000,20260824,192,0.0430851533,-0.0020342863,parity_forward
